Parsed: dat: exchange_rate
Parsed: 2014-08-1: 549.98
Parsed: 2014-08-1: 523.88
Parsed: 2014-08-2: 490
Parsed: 2014-08-2: 515.69
Parsed: 2014-08-2: 501.55
Parsed: 2014-08-2: 506.61
Parsed: 2014-09-0: 478.87
Parsed: 2014-09-0: 474.5
Parsed: 2014-09-0: 479.59
Parsed: 2014-09-1: 473.35
Parsed: 2014-09-1: 474.62
Parsed: 2014-09-1: 470.83
Parsed: 2014-09-1: 425.56
Parsed: 2014-09-2: 401.15
Parsed: 2014-09-2: 423.68
Parsed: 2014-09-2: 400.39
Parsed: 2014-10-0: 390.18
Parsed: 2014-10-0: 358.9
Parsed: 2014-10-0: 327.61
Parsed: 2014-10-1: 363.61
Parsed: 2014-10-1: 380.8
Parsed: 2014-10-1: 394.84
Parsed: 2014-10-1: 391
Parsed: 2014-10-2: 385.89
Parsed: 2014-10-2: 358.49
Parsed: 2014-10-2: 350.9
Parsed: 2014-10-3: 345.3
Parsed: 2014-11-0: 324.36
Parsed: 2014-11-0: 338.63
Parsed: 2014-11-0: 346.94
Parsed: 2014-11-1: 369.41
Parsed: 2014-11-1: 399.11
Parsed: 2014-11-1: 388.87
Parsed: 2014-11-2: 356.47
Parsed: 2014-11-2: 367.12
Parsed: 2014-11-2: 366.86
Parsed: 2014-11-2: 375.59
Parsed: 2014-12-0: 379.62
Parsed: 2014-12-0: 376
Parsed: 2014-12-0: 362.99
Parsed: 2014-12-1: 348.97
Parsed: 2014-12-1: 357.8
Parsed: 2014-12-1: 321.34
Parsed: 2014-12-2: 331.52
Parsed: 2014-12-2: 336.95
Parsed: 2014-12-2: 329.94
Parsed: 2014-12-2: 313.4
Parsed: 2015-01-0: 314.81
Parsed: 2015-01-0: 263.17
Parsed: 2015-01-0: 297.99
Parsed: 2015-01-1: 275.97
Parsed: 2015-01-1: 222
Parsed: 2015-01-1: 208.13
Parsed: 2015-01-1: 216.01
Parsed: 2015-01-2: 233.51
Parsed: 2015-01-2: 254.32
Parsed: 2015-01-2: 236.2
Parsed: 2015-01-3: 219.25
Parsed: 2015-02-0: 227.53
Parsed: 2015-02-0: 222.36
Parsed: 2015-02-0: 219.93
Parsed: 2015-02-1: 222.33
Parsed: 2015-02-1: 234.18
Parsed: 2015-02-1: 237.44
Parsed: 2015-02-2: 245.41
Parsed: 2015-02-2: 239.94
Parsed: 2015-02-2: 252.11
Parsed: 2015-03-0: 275.87
Parsed: 2015-03-0: 273.11
Parsed: 2015-03-0: 275
Parsed: 2015-03-1: 296.56
Parsed: 2015-03-1: 282.2
Parsed: 2015-03-1: 284.48
Parsed: 2015-03-2: 262.1
Parsed: 2015-03-2: 265.99
Parsed: 2015-03-2: 249.23
Parsed: 2015-03-3: 242.34
Parsed: 2015-04-0: 246.49
Parsed: 2015-04-0: 253.67
Parsed: 2015-04-0: 253.9
Parsed: 2015-04-1: 236
Parsed: 2015-04-1: 223.01
Parsed: 2015-04-1: 227.5
Parsed: 2015-04-2: 222.61
Parsed: 2015-04-2: 233.59
Parsed: 2015-04-2: 226.29
Parsed: 2015-04-2: 225.2
Parsed: 2015-05-0: 230.97
Parsed: 2015-05-0: 238.25
Parsed: 2015-05-0: 237.16
Parsed: 2015-05-1: 239.11
Parsed: 2015-05-1: 235.97
Parsed: 2015-05-1: 236.63
Parsed: 2015-05-2: 231.4
Parsed: 2015-05-2: 238.8
Parsed: 2015-05-2: 235.59
Parsed: 2015-05-2: 236.44
Parsed: 2015-06-0: 228.34
Parsed: 2015-06-0: 225.4
Parsed: 2015-06-0: 224.99
Parsed: 2015-06-1: 228.88
Parsed: 2015-06-1: 229.6
Parsed: 2015-06-1: 236
Parsed: 2015-06-1: 248.26
Parsed: 2015-06-2: 243.55
Parsed: 2015-06-2: 240.2
Parsed: 2015-06-2: 251.21
Parsed: 2015-07-0: 262.43
Parsed: 2015-07-0: 256.12
Parsed: 2015-07-0: 268.53
Parsed: 2015-07-1: 269
Parsed: 2015-07-1: 310.55
Parsed: 2015-07-1: 285.66
Parsed: 2015-07-1: 276.74
Parsed: 2015-07-2: 276.76
Parsed: 2015-07-2: 289
Parsed: 2015-07-2: 293.93
